method,noise_level,0,1,2,3,4,5,6
GPR_Julia,0.001,0.01904714051170625,0.03015782789824525,0.6624147071449885,19.928106775187658,299.8003774120257,7005.101446199133,233492.33650556978
GP_Matern_1.5_Python,0.0,2.684684128395877e-11,0.016215199034555323,2.5803646310303288,16309.77598125499,1831.733134428674,2079119.6620395058,496110.64890222636
GP_Matern_1.5_Python,1e-06,1.3114230931831242e-06,0.015130974029068201,47.68953650242704,590964.6638903527,6689.341798076273,74988419.79687941,398738.21562144265
GP_Matern_1.5_Python,0.001,0.011856050599340388,0.031113082280466622,3.7372854783546625,685.151178455253,427.1266359601797,7557.164793407604,249339.2008183455
GP_Matern_2.5_Python,0.0,6.57643884697534e-07,0.0066359978078734255,0.16325684055990675,23.81269104147009,28806.36147357356,83934493.48580475,332442.80130411946
GP_Matern_2.5_Python,1e-06,1.2043822435214957e-05,0.005824718640255618,0.5372539754052961,1443.580444356281,7911865.017662475,53907653258.79804,284950.9725463881
GP_Matern_2.5_Python,0.001,0.012952008914644157,0.01933205262533397,0.49575025989806576,10.101761610998254,455.683506455394,50007.58862397764,284950.9725463881
GP_Matern_Python,0.0,2.684684128395877e-11,0.016215199034555323,2.5803646310303288,16309.77598125499,1831.733134428674,2079119.6620395058,496110.64890222636
GP_Matern_Python,1e-06,1.3114230931831242e-06,0.015130974029068201,47.68953650242704,590964.6638903527,6689.341798076273,74988419.79687941,398738.21562144265
GP_Matern_Python,0.001,0.011856050599340388,0.031113082280466622,3.7372854783546625,685.151178455253,427.1266359601797,7557.164793407604,249339.2008183455
GP_RBF_Iso_Python,0.0,0.0013436748609558656,0.027779258640465536,0.6785604080527013,16.790165198775757,515.8573868097131,11231.58526891678,284959.0866495377
GP_RBF_Iso_Python,1e-06,0.0013541972642312245,0.027781777665003834,0.6787918198921356,16.776675089616898,511.48356851834654,11215.968537850898,284813.0115141221
GP_RBF_Iso_Python,0.001,0.011881156511878462,0.028197983828549388,0.6284328211725246,13.843310031477069,313.2936405374821,6485.091775332858,249339.2008183455
GP_RBF_Python,0.0,0.0013436748609558656,0.027779258640465536,0.6785604080527013,16.790165198775757,515.8573868097131,11231.58526891678,284959.0866495377
GP_RBF_Python,1e-06,0.0013541972642312245,0.027781777665003834,0.6787918198921356,16.776675089616898,511.48356851834654,11215.968537850898,284813.0115141221
GP_RBF_Python,0.001,0.011881156511878462,0.028197983828549388,0.6284328211725246,13.843310031477069,313.2936405374821,6485.091775332858,249339.2008183455
JuliaAAAFullOpt_Julia,0.0,0.0005975335124380154,0.0025418878656932684,0.04625640381107319,3.936325146779382,722.2354557470014,181978.83495760817,57540870.29341492
JuliaAAAFullOpt_Julia,1e-06,0.0003323660360551399,0.02155184721956777,18.393963419462995,31074.926186932677,71287132.34519719,204837274556.04855,706541083726824.4
JuliaAAAFullOpt_Julia,0.001,0.10384708262433558,4.255584772007614,908.6594890871322,473496.3343942172,580129564.460485,1269284539281.6626,3745182765563056.0
JuliaAAALS_Julia,0.0,3.101391700550688e-09,1.6053140933450698e-05,0.00027744567836445616,0.019988426771637913,0.6938152534581143,76.42180948535432,3439560.320986651
JuliaAAALS_Julia,1e-06,6.82095678718e-05,0.0020912243088516236,0.22866495901357023,58.37563555700645,35643.3356552162,41658862.560219906,inf
JuliaAAALS_Julia,0.001,0.058231054636349665,1491.1457198397488,154706905.3913589,24081579440155.96,4.998036304956537e+18,1.2966532727324365e+24,inf
JuliaAAASmoothBary_Julia,0.0,1.603358225033602e-10,2.354681093151113e-05,0.015314375342527381,17109.827786838112,45777573260.20251,1.6218938991048816e+17,inf
JuliaAAASmoothBary_Julia,1e-06,0.00015949214385657743,0.011958880077151865,7.141676783297997,8835.593152343834,34398811.18017279,437905686723.3656,8654243429765874.0
JuliaAAASmoothBary_Julia,0.001,0.11039844306141444,20.028528587517314,79406.4612771409,1336271783.1389637,41388377993553.5,1.997641546132233e+18,inf
JuliaAAATwoStage_Julia,0.0,3.101391726153556e-09,1.6053140937363343e-05,0.00027744567858000314,0.01998842677953456,0.6938152536384091,76.42180944346043,3439560.320874601
JuliaAAATwoStage_Julia,1e-06,6.780689011102552e-05,0.002117122619185732,0.2587132594188986,96.44934953608865,96225.24840707007,158247317.07824302,331155117957.75525
JuliaAAATwoStage_Julia,0.001,0.058193695601174995,1491.1530755874899,154706909.9906297,24081579444476.402,4.998036304961773e+18,1.2966532727324443e+24,inf
KalmanGrad_Python,0.0,0.19476497938268267,0.7649252008975379,4.372128630411765,37.80004536984165,567.6367761853943,9915.300173590536,332452.3277313732
KalmanGrad_Python,1e-06,0.14895177041059285,0.5774499785285958,3.279847979300085,27.619054520150765,425.74484273436735,7436.482562845664,249339.25198510304
KalmanGrad_Python,0.001,0.21857152386806436,0.6838991946340868,3.8665658639940985,34.382596334378846,486.692154360125,8498.900476636712,284959.17766804766
LOESS_Julia,0.0,0.09118818099551126,0.4015691744326402,20.964676331693358,81476.38271629745,504390814.7063104,3974098822664.8315,3.773548804572194e+16
LOESS_Julia,1e-06,0.09122771190596571,0.4582141367805052,4976.7117649082775,517990240.95765984,76515816565437.67,1.4195325364139299e+19,inf
LOESS_Julia,0.001,0.1378699115188162,0.4225786350328441,6.997848272942897,10958.813055765964,45804620.62558796,280433890304.1044,2192377915100872.5
SVR_Python,0.0,0.5569470208174994,0.8996566917278803,2.9221831853544473,28.579090884297127,424.0806030860846,7435.384124166212,249339.2008183455
SVR_Python,1e-06,0.556982967860191,0.8996572851028624,2.9221827806923,28.579090645027662,424.0806031158173,7435.384124072573,249339.2008183455
SVR_Python,0.001,0.5761089004487194,0.9023954162041047,2.9220165623438903,28.577765269377593,424.07914190074143,7435.3809817919755,249339.2008183455
SavitzkyGolay_Python,0.0,0.045521801465045544,0.2694101021693134,2.0942897509607454,22.968145193623027,424.5261844037854,7435.98831215988,249339.2008183455
SavitzkyGolay_Python,1e-06,0.04556713653983757,0.26954691080020204,3.586413382958994,18285.919749805904,424.5261844037854,7435.98831215988,249339.2008183455
SavitzkyGolay_Python,0.001,0.09431100501385588,0.4137857894227283,1739.8057421209537,21595240.302158374,424.5261844037854,7435.98831215988,249339.2008183455
TVDiff_Julia,0.0,2.4934571366360647e-14,0.24986192639477153,3.212862022011468,151.86637756474528,,,
TVDiff_Julia,1e-06,0.00013213602299592738,0.2515958533394383,5.672121030557414,3106.1123021743206,,,
TVDiff_Julia,0.001,0.12586231653660146,0.4882286325781944,8.887350788111075,6543.889808342545,,,
